Koordinatensystem : Lambert konform konisch
Rechtswert        : 3996500 Meter
Hochwert          : 2967500 Meter
Hoehenlage        : 25 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3996500 2967500  1  1  1  -6.3 1015 129  3.9 0  1.8  76    0    0 189 -281  0
3996500 2967500  1  1  2  -5.9 1015 135  3.7 1  1.8  75    0    0 195 -280  0
3996500 2967500  1  1  3  -6.1 1015 133  3.9 0  1.8  75    0    0 196 -280  0
3996500 2967500  1  1  4  -6.8 1014 145  4.2 2  1.8  75    0    0 201 -279  0
3996500 2967500  1  1  5  -7.4 1013 156  4.6 2  1.7  78    0    0 213 -278  0
3996500 2967500  1  1  6  -8.1 1012 158  4.3 4  1.8  83    0    0 222 -279  0
3996500 2967500  1  1  7  -7.7 1011 171  3.5 7  1.8  87    0    0 252 -282  0
3996500 2967500  1  1  8  -7.1 1011 138  3.2 8  1.9  88    0    0 277 -284  0
3996500 2967500  1  1  9  -6.4 1010 142  2.9 8  2.0  88    0    0 284 -287  0
3996500 2967500  1  1 10  -6.0 1009 138  3.7 8  2.1  90    0    7 286 -290  0
3996500 2967500  1  1 11  -5.4 1008 156  3.6 8  2.3  90    0   17 287 -292  0
3996500 2967500  1  1 12  -4.9 1007 141  3.5 8  2.4  91    0   31 290 -296  0
3996500 2967500  1  1 13  -4.7 1005 146  3.4 6  2.4  90    0   66 277 -299  0
3996500 2967500  1  1 14  -4.4 1004 138  3.2 7  2.4  89    0   66 268 -302  0
3996500 2967500  1  1 15  -4.0 1002 141  4.0 8  2.5  88    0   17 281 -304  0
3996500 2967500  1  1 16  -3.4 1001 137  4.4 8  2.6  88    0    5 288 -305  0
3996500 2967500  1  1 17  -2.9  999 134  4.1 8  2.7  88    0    0 289 -304  0
3996500 2967500  1  1 18  -2.5  997 129  3.9 8  2.8  88    0    0 290 -305  0
3996500 2967500  1  1 19  -2.2  995 125  4.0 7  2.9  90    0    0 287 -305  0
3996500 2967500  1  1 20  -1.9  994 128  3.3 7  3.0  92    0    0 284 -307  0
3996500 2967500  1  1 21  -1.6  992 134  4.0 8  3.1  92    0    0 293 -309  0
3996500 2967500  1  1 22  -0.9  990 120  3.6 8  3.4  95    0    0 302 -311  0
3996500 2967500  1  1 23   0.0  988 129  3.4 8  3.6  97    0    0 307 -313  0
3996500 2967500  1  1 24   0.4  986 124  3.1 8  3.8  96    0    0 312 -314  0
3996500 2967500  1  2  1   0.8  985 135  2.8 8  3.9  95    0    0 315 -314  0
3996500 2967500  1  2  2   1.0  984  99  2.4 7  4.0  95    0    0 305 -315  0
3996500 2967500  1  2  3   1.1  983 139  2.3 8  4.1  96    0    0 305 -315  0
3996500 2967500  1  2  4   1.1  983 163  3.1 8  4.1  96    0    0 317 -315  0
3996500 2967500  1  2  5   4.4  983 259  4.1 8  4.7  98    0    0 324 -315  0
3996500 2967500  1  2  6   3.9  983 290  5.9 8  5.2  99    0    0 330 -315  0
3996500 2967500  1  2  7   2.6  984 282  5.4 8  4.9  99    0    0 327 -315  0
