Koordinatensystem : Lambert konform konisch
Rechtswert        : 3996500 Meter
Hochwert          : 2967500 Meter
Hoehenlage        : 25 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3996500 2967500  1  1  1   1.0 1010 178  3.1 7  3.9  93    0    0 273 -277  0
3996500 2967500  1  1  2  -0.0 1010 164  3.2 6  3.6  92    0    0 273 -278  0
3996500 2967500  1  1  3  -0.8 1010 149  3.5 5  3.3  91    0    0 270 -278  0
3996500 2967500  1  1  4  -1.1 1009 145  3.9 4  3.2  90    0    0 254 -278  0
3996500 2967500  1  1  5  -1.3 1008 141  4.4 4  3.1  88    0    0 227 -278  0
3996500 2967500  1  1  6  -1.5 1007 145  4.9 4  2.9  86    0    0 223 -278  0
3996500 2967500  1  1  7  -1.3 1006 137  5.3 8  2.8  82    0    0 257 -279  0
3996500 2967500  1  1  8  -1.7 1004 140  5.1 7  2.7  80    0    0 274 -280  0
3996500 2967500  1  1  9  -1.5 1003 136  6.3 7  2.6  76    0    0 268 -281  0
3996500 2967500  1  1 10  -1.3 1002 159  6.8 7  2.5  74    0   11 271 -283  0
3996500 2967500  1  1 11  -1.1 1002 142  6.7 6  2.6  73    1   56 269 -286  0
3996500 2967500  1  1 12  -0.7 1001 149  6.1 7  2.6  72    0   53 273 -290  0
3996500 2967500  1  1 13  -0.5 1000 156  7.1 8  2.7  73    0   33 286 -294  0
3996500 2967500  1  1 14  -0.3  998 141  6.6 8  2.9  78    0   21 297 -298  0
3996500 2967500  1  1 15   0.0  998 143  6.1 7  3.1  83    0   29 294 -300  0
3996500 2967500  1  1 16   0.5  997 146  6.1 8  3.3  84    0   18 298 -301  0
3996500 2967500  1  1 17   0.9  996 163  5.1 8  3.5  86    0    0 310 -303  0
3996500 2967500  1  1 18   1.0  996 163  4.0 8  3.6  86    0    0 313 -305  0
3996500 2967500  1  1 19   1.3  996 153  4.3 8  3.6  86    0    0 316 -305  0
3996500 2967500  1  1 20   1.2  996 169  3.3 8  3.7  87    0    0 317 -307  0
3996500 2967500  1  1 21   1.5  996 161  4.2 8  3.7  88    0    0 319 -309  0
3996500 2967500  1  1 22   2.0  995 153  3.9 8  3.9  90    0    0 322 -312  0
3996500 2967500  1  1 23   2.1  995 162  3.1 8  4.1  91    0    0 323 -313  0
3996500 2967500  1  1 24   2.7  995 158  3.0 8  4.2  92    0    0 325 -313  0
3996500 2967500  1  2  1   2.7  995 164  3.0 8  4.3  92    0    0 326 -313  0
3996500 2967500  1  2  2   3.0  995 164  2.7 8  4.4  92    0    0 327 -314  0
3996500 2967500  1  2  3   3.9  995 185  3.3 8  4.6  93    0    0 329 -314  0
3996500 2967500  1  2  4   3.3  995 176  3.5 8  4.6  93    0    0 329 -314  0
3996500 2967500  1  2  5   3.7  995 156  3.7 8  4.6  92    0    0 329 -315  0
3996500 2967500  1  2  6   3.3  995 167  3.7 7  4.5  91    0    0 321 -315  0
3996500 2967500  1  2  7   3.6  995 173  3.8 8  4.5  91    0    0 320 -315  0
3996500 2967500  1  2  8   3.7  994 149  3.3 8  4.6  91    0    0 327 -315  0
3996500 2967500  1  2  9   3.9  994 166  3.3 8  4.6  91    0    0 328 -315  0
3996500 2967500  1  2 10   4.1  994 145  3.1 6  4.7  90   11   36 314 -315  0
3996500 2967500  1  2 11   4.2  994 151  3.0 4  4.7  90   56   71 284 -315  0
3996500 2967500  1  2 12   4.8  994 143  3.0 5  4.8  89   33   97 273 -315  0
3996500 2967500  1  2 13   4.6  994 136  2.3 8  4.8  88    1   69 303 -315  0
3996500 2967500  1  2 14   4.6  993 146  2.8 7  4.8  89    0   44 319 -315  0
3996500 2967500  1  2 15   4.7  993 146  2.1 8  4.9  90    1   45 320 -316  0
