Koordinatensystem : Lambert konform konisch
Rechtswert        : 3909500 Meter
Hochwert          : 2599500 Meter
Hoehenlage        : 126 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3909500 2599500  1  1  1  -1.0 1009  40  2.0 6  2.9  82    0    0 232 -286  1
3909500 2599500  1  1  2  -1.6 1009  45  1.8 6  2.8  83    0    0 239 -286  1
3909500 2599500  1  1  3  -2.1 1008  61  1.6 6  2.7  84    0    0 249 -285  1
3909500 2599500  1  1  4  -2.0 1008  73  1.6 7  2.8  84    0    0 248 -283  1
3909500 2599500  1  1  5  -2.0 1007  80  1.6 7  2.8  85    0    0 249 -282  1
3909500 2599500  1  1  6  -1.8 1006  80  1.7 8  2.8  86    0    0 261 -281  1
3909500 2599500  1  1  7  -1.4 1005  78  1.6 7  2.8  83    0    0 264 -281  1
3909500 2599500  1  1  8  -1.2 1004  50  1.0 7  2.8  81    0    0 262 -282  1
3909500 2599500  1  1  9  -1.2 1004  74  1.2 7  2.8  81    0    2 263 -283  1
3909500 2599500  1  1 10  -0.1 1003  90  1.9 6  2.9  79    0   33 262 -285  1
3909500 2599500  1  1 11   0.7 1003  82  1.7 7  3.0  76    1   57 265 -290  1
3909500 2599500  1  1 12   1.2 1002  68  1.8 7  2.9  71    7   95 272 -297  1
3909500 2599500  1  1 13   1.4 1000  81  2.4 7  2.8  68   11  109 273 -303  1
3909500 2599500  1  1 14   1.7  999  83  2.2 7  2.8  66   18  104 275 -306  1
3909500 2599500  1  1 15   2.0  998  92  1.6 6  2.8  64   23   77 271 -308  1
3909500 2599500  1  1 16   1.8  997 100  1.1 6  2.9  65    7   37 264 -308  1
3909500 2599500  1  1 17   1.7  997  73  1.6 8  2.9  65    0    5 279 -307  1
3909500 2599500  1  1 18   1.9  997  89  2.0 8  2.8  65    0    0 295 -306  1
3909500 2599500  1  1 19   1.9  996  81  2.2 8  2.8  63    0    0 297 -306  1
3909500 2599500  1  1 20   1.9  996  76  2.4 8  2.8  62    0    0 298 -306  1
3909500 2599500  1  1 21   1.8  996  84  2.3 8  2.8  62    0    0 298 -306  1
3909500 2599500  1  1 22   2.0  996  83  2.0 7  2.8  63    0    0 292 -306  1
3909500 2599500  1  1 23   1.8  996  73  2.0 7  2.8  63    0    0 286 -306  1
3909500 2599500  1  1 24   1.5  996  46  1.7 8  2.8  65    0    0 293 -307  1
3909500 2599500  1  2  1   1.4  996  39  2.0 8  2.8  65    0    0 302 -307  1
3909500 2599500  1  2  2   1.2  996  55  2.5 8  2.6  62    0    0 302 -307  1
3909500 2599500  1  2  3   1.0  996  38  2.6 7  2.5  60    0    0 293 -308  1
3909500 2599500  1  2  4   0.8  996  43  2.5 7  2.4  59    0    0 285 -308  1
3909500 2599500  1  2  5   0.7  997  46  2.4 7  2.3  58    0    0 284 -308  1
3909500 2599500  1  2  6   0.4  997  34  2.1 7  2.3  58    0    0 282 -308  1
3909500 2599500  1  2  7   0.1  997  41  2.7 7  2.4  60    0    0 281 -309  1
3909500 2599500  1  2  8   0.0  998  43  3.9 8  2.4  62    0    0 288 -309  1
3909500 2599500  1  2  9  -0.3  999  39  3.5 7  2.5  65    0    4 287 -310  1
3909500 2599500  1  2 10  -0.5 1000  28  4.7 7  2.5  66   27   50 273 -311  1
3909500 2599500  1  2 11  -0.6 1001  26  4.4 5  2.5  67   59   95 246 -312  1
3909500 2599500  1  2 12   0.3 1001  30  4.5 5  2.4  64   89  121 222 -313  1
3909500 2599500  1  2 13  -0.2 1002  27  5.5 7  2.4  62    2   99 248 -314  1
3909500 2599500  1  2 14  -0.2 1002  22  6.0 7  2.3  62    0   83 272 -315  1
3909500 2599500  1  2 15   0.1 1002  25  5.2 6  2.3  62    6   75 263 -316  1
3909500 2599500  1  2 16  -0.4 1003  29  4.7 6  2.4  62    4   39 257 -316  1
3909500 2599500  1  2 17  -1.5 1004  11  5.1 6  2.4  66    0    3 260 -315  1
3909500 2599500  1  2 18  -1.7 1005  16  3.9 5  2.3  68    0    0 255 -315  1
3909500 2599500  1  2 19  -2.2 1005  21  3.3 4  2.3  68    0    0 245 -315  1
3909500 2599500  1  2 20  -2.2 1006  24  3.4 3  2.2  68    0    0 235 -315  1
3909500 2599500  1  2 21  -2.7 1007  18  3.0 2  2.2  69    0    0 226 -315  1
3909500 2599500  1  2 22  -2.6 1007  16  3.0 2  2.3  72    0    0 220 -315  1
3909500 2599500  1  2 23  -2.5 1008  31  2.1 2  2.3  72    0    0 219 -315  1
3909500 2599500  1  2 24  -3.2 1008  27  1.7 1  2.2  72    0    0 211 -315  1
3909500 2599500  1  3  1  -3.6 1008  19  1.4 1  2.2  75    0    0 206 -315  1
3909500 2599500  1  3  2  -4.8 1008   5  1.7 2  2.2  79    0    0 207 -314  1
3909500 2599500  1  3  3  -5.3 1009  19  1.4 2  2.1  81    0    0 209 -313  1
3909500 2599500  1  3  4  -4.8 1009  22  1.7 3  2.2  83    0    0 214 -311  1
3909500 2599500  1  3  5  -5.0 1009  33  1.9 2  2.2  83    0    0 214 -310  1
3909500 2599500  1  3  6  -5.3 1009  56  1.4 4  2.2  84    0    0 217 -309  1
3909500 2599500  1  3  7  -4.2 1009  46  1.1 8  2.2  83    0    0 251 -307  1
3909500 2599500  1  3  8  -3.7 1009  65  1.1 8  2.3  82    0    0 274 -305  1
3909500 2599500  1  3  9  -3.5 1010  57  1.1 8  2.3  80    0    3 273 -303  1
3909500 2599500  1  3 10  -2.0 1010  35  1.7 8  2.3  76   26   31 272 -301  1
3909500 2599500  1  3 11  -1.2 1010  83  2.0 7  2.4  70   38   66 267 -302  1
3909500 2599500  1  3 12  -1.0 1010  35  2.3 7  2.3  67   26   93 262 -304  1
3909500 2599500  1  3 13  -1.5 1010  59  1.4 8  2.3  68    2   88 267 -307  1
3909500 2599500  1  3 14  -1.3 1009  29  1.9 8  2.4  69    0   62 273 -309  1
3909500 2599500  1  3 15  -1.2 1008  11  1.8 7  2.3  67    6   63 268 -309  1
3909500 2599500  1  3 16  -1.3 1008 341  1.8 8  2.3  67    0   30 267 -307  1
3909500 2599500  1  3 17  -1.2 1008  32  1.5 7  2.3  66    0    3 266 -304  1
3909500 2599500  1  3 18  -1.1 1008  90  1.1 7  2.2  64    0    0 260 -301  1
3909500 2599500  1  3 19  -1.0 1008  54  1.1 8  2.2  63    0    0 264 -299  1
3909500 2599500  1  3 20  -1.0 1008  96  1.0 8  2.2  63    0    0 269 -298  1
3909500 2599500  1  3 21  -1.1 1007 111  1.3 8  2.2  63    0    0 270 -298  1
3909500 2599500  1  3 22  -1.3 1007 152  0.8 8  2.2  64    0    0 270 -297  1
3909500 2599500  1  3 23  -1.7 1007 145  1.0 8  2.2  65    0    0 271 -297  1
3909500 2599500  1  3 24  -2.0 1007 163  1.0 7  2.2  66    0    0 267 -297  1
3909500 2599500  1  4  1  -2.1 1006 230  0.9 8  2.2  66    0    0 267 -297  1
3909500 2599500  1  4  2  -2.4 1006 192  1.7 8  2.2  68    0    0 272 -297  1
3909500 2599500  1  4  3  -2.7 1005 218  1.4 8  2.2  71    0    0 273 -297  1
3909500 2599500  1  4  4  -2.3 1005 211  2.7 8  2.3  73    0    0 274 -297  1
3909500 2599500  1  4  5  -2.7 1005 222  3.4 8  2.3  74    0    0 274 -297  1
3909500 2599500  1  4  6  -2.8 1004 208  2.6 8  2.3  74    0    0 274 -297  1
3909500 2599500  1  4  7  -3.2 1003 208  3.2 8  2.2  73    0    0 274 -299  1
3909500 2599500  1  4  8  -3.3 1003 197  3.4 8  2.2  73    0    0 275 -300  1
3909500 2599500  1  4  9  -3.4 1003 192  3.3 8  2.2  74    0    4 276 -301  1
3909500 2599500  1  4 10  -3.5 1003 203  2.9 8  2.3  77    0   27 277 -303  1
3909500 2599500  1  4 11  -3.7 1003 208  3.6 8  2.4  82    0   39 278 -306  1
3909500 2599500  1  4 12  -3.5 1003 216  4.4 7  2.5  86    0   41 274 -309  1
3909500 2599500  1  4 13  -3.2 1002 213  3.9 7  2.6  86    0   39 270 -311  1
3909500 2599500  1  4 14  -2.9 1002 214  3.7 8  2.6  85    0   28 278 -312  1
3909500 2599500  1  4 15  -2.5 1001 223  3.8 7  2.7  85    0   27 279 -313  1
3909500 2599500  1  4 16  -1.9 1001 213  3.6 8  2.8  85    0   13 281 -313  1
3909500 2599500  1  4 17  -1.4 1002 258  3.8 8  2.9  84    0    3 287 -313  1
3909500 2599500  1  4 18  -0.9 1002 182  4.2 8  2.9  82    0    0 288 -312  1
3909500 2599500  1  4 19  -0.4 1002 207  4.0 8  3.0  81    0    0 288 -310  1
3909500 2599500  1  4 20   0.0 1003 222  4.6 8  3.0  81    0    0 288 -308  1
3909500 2599500  1  4 21  -0.3 1003 222  5.3 8  3.1  81    0    0 287 -307  1
3909500 2599500  1  4 22   0.1 1003 231  4.0 8  3.2  83    0    0 285 -305  1
3909500 2599500  1  4 23   0.0 1003 189  4.1 8  3.2  84    0    0 285 -303  1
3909500 2599500  1  4 24   0.3 1003 222  4.8 8  3.3  85    0    0 284 -299  1
3909500 2599500  1  5  1   0.5 1003 218  4.0 8  3.4  86    0    0 284 -296  1
3909500 2599500  1  5  2   0.9 1003 162  3.3 8  3.4  85    0    0 285 -299  1
3909500 2599500  1  5  3   0.9 1003 173  4.3 7  3.5  85    0    0 282 -300  1
3909500 2599500  1  5  4   1.1 1003 203  3.7 8  3.5  85    0    0 282 -300  1
3909500 2599500  1  5  5   1.0 1003   5  3.4 8  3.5  86    0    0 288 -300  1
3909500 2599500  1  5  6   1.2 1003 202  4.1 8  3.6  86    0    0 288 -302  1
3909500 2599500  1  5  7   1.3 1003 199  4.2 8  3.6  86    0    0 288 -304  1
3909500 2599500  1  5  8   1.5 1004  30  4.5 8  3.7  87    0    0 289 -305  1
3909500 2599500  1  5  9   1.3 1004 189  3.0 8  3.7  88    0    2 290 -306  1
3909500 2599500  1  5 10   1.2 1005 163  3.2 8  3.8  90    4   47 291 -308  1
3909500 2599500  1  5 11   1.4 1005 179  3.6 7  3.8  90    1   64 289 -310  1
3909500 2599500  1  5 12   1.4 1006 200  3.4 7  3.8  90    0   43 286 -312  1
3909500 2599500  1  5 13   1.5 1006 193  3.9 7  3.9  91    0   42 289 -313  1
3909500 2599500  1  5 14   1.4 1006 179  3.6 7  3.9  92    0   53 290 -314  1
3909500 2599500  1  5 15   1.3 1006 196  3.1 7  3.9  92    0   33 289 -314  1
3909500 2599500  1  5 16   1.0 1007 206  2.8 8  3.9  93    0   14 295 -315  1
3909500 2599500  1  5 17   1.2 1007 191  3.3 8  3.8  93    0    3 300 -315  1
3909500 2599500  1  5 18   1.0 1007 169  2.5 8  3.9  94    0    0 302 -314  1
3909500 2599500  1  5 19   1.3 1007 196  2.2 8  3.9  95    0    0 302 -314  1
3909500 2599500  1  5 20   1.3 1008 183  2.2 8  3.9  93    0    0 302 -314  1
3909500 2599500  1  5 21   1.4 1008 174  2.0 8  3.9  92    0    0 302 -314  1
3909500 2599500  1  5 22   1.3 1008 176  2.5 8  3.9  92    0    0 302 -315  1
3909500 2599500  1  5 23   1.0 1008 185  2.1 8  3.9  93    0    0 303 -315  1
3909500 2599500  1  5 24   1.1 1008 180  1.6 8  3.9  94    0    0 304 -315  1
3909500 2599500  1  6  1   1.4 1008 185  2.7 8  3.9  93    0    0 305 -315  1
3909500 2599500  1  6  2   1.5 1007 176  2.6 8  3.9  93    0    0 307 -315  1
3909500 2599500  1  6  3   1.5 1007 182  2.7 8  4.0  93    0    0 308 -315  1
3909500 2599500  1  6  4   1.7 1007 164  2.3 8  4.0  93    0    0 309 -315  1
3909500 2599500  1  6  5   1.9 1007 173  2.8 8  4.0  93    0    0 311 -315  1
3909500 2599500  1  6  6   2.2 1007 183  2.9 8  4.1  93    0    0 313 -315  1
3909500 2599500  1  6  7   2.2 1007 194  3.0 6  4.2  94    0    0 304 -315  1
3909500 2599500  1  6  8   2.2 1006 203  3.1 8  4.2  94    0    0 304 -315  1
3909500 2599500  1  6  9   2.2 1006 209  3.3 8  4.2  94    0    2 317 -315  1
3909500 2599500  1  6 10   2.2 1006 200  3.7 7  4.2  94    0   15 310 -315  1
3909500 2599500  1  6 11   2.5 1006 214  3.4 8  4.3  94    0   29 311 -315  1
3909500 2599500  1  6 12   2.7 1006 203  3.4 8  4.4  96    0   37 320 -318  1
3909500 2599500  1  6 13   2.9 1006 204  3.8 8  4.5  96    0   36 322 -321  1
3909500 2599500  1  6 14   3.2 1005 201  3.4 8  4.5  95    0   42 324 -323  1
3909500 2599500  1  6 15   3.5 1004 206  3.6 7  4.6  94    0   44 317 -326  1
3909500 2599500  1  6 16   3.6 1004 207  3.9 8  4.7  94    0   18 318 -331  1
3909500 2599500  1  6 17   3.5 1004 202  4.0 8  4.7  94    0    3 327 -332  1
3909500 2599500  1  6 18   3.4 1003 198  4.7 8  4.6  94    0    0 327 -332  1
3909500 2599500  1  6 19   3.6 1003 196  4.8 8  4.6  94    0    0 327 -332  1
3909500 2599500  1  6 20   3.7 1003 205  4.2 8  4.6  93    0    0 327 -333  1
