Koordinatensystem : Lambert konform konisch
Rechtswert        : 4217500 Meter
Hochwert          : 2854500 Meter
Hoehenlage        : 53 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4217500 2854500  1  1  1   0.8 1010 250  5.9 8  3.7  92    0    0 299 -303  0
4217500 2854500  1  1  2   1.0 1010 260  6.5 8  3.7  92    0    0 300 -304  0
4217500 2854500  1  1  3   1.2 1009 260  5.5 8  3.7  90    0    0 298 -305  0
4217500 2854500  1  1  4   1.4 1008 260  6.1 8  3.7  88    0    0 298 -306  0
4217500 2854500  1  1  5   1.7 1007 250  6.9 8  3.6  85    0    0 296 -307  0
4217500 2854500  1  1  6   1.9 1006 260  7.7 8  3.7  84    0    0 296 -307  0
4217500 2854500  1  1  7   2.2 1005 260  7.3 8  3.7  84    0    0 298 -308  0
4217500 2854500  1  1  8   2.1 1004 260  7.5 8  3.8  85    0    0 300 -309  0
4217500 2854500  1  1  9   2.4 1003 270  7.3 8  4.0  88    0    7 303 -311  0
4217500 2854500  1  1 10   3.0 1003 280  7.3 7  4.1  88    0   31 300 -312  0
4217500 2854500  1  1 11   3.2 1003 270  6.4 6  4.0  84    1   57 291 -314  0
4217500 2854500  1  1 12   3.4 1003 280  8.2 6  3.8  79    0   73 286 -315  0
4217500 2854500  1  1 13   3.5 1003 280  7.0 7  3.7  75    0   37 291 -315  0
4217500 2854500  1  1 14   3.8 1003 290  7.4 7  3.6  72    0   35 296 -313  0
4217500 2854500  1  1 15   3.2 1003 290  6.9 7  3.5  70    0   26 297 -312  0
4217500 2854500  1  1 16   3.1 1003 290  6.2 7  3.4  70    0    3 295 -310  0
4217500 2854500  1  1 17   2.9 1004 290  5.3 7  3.3  69    0    0 296 -307  0
4217500 2854500  1  1 18   2.6 1005 280  5.0 8  3.3  70    0    0 302 -305  0
4217500 2854500  1  1 19   2.5 1005 280  4.7 8  3.3  72    0    0 307 -303  0
4217500 2854500  1  1 20   2.2 1005 270  3.8 8  3.3  72    0    0 306 -301  0
4217500 2854500  1  1 21   2.1 1006 270  3.7 7  3.2  72    0    0 298 -298  0
4217500 2854500  1  1 22   1.5 1006 280  4.1 7  3.2  74    0    0 291 -295  0
4217500 2854500  1  1 23   1.7 1006 290  4.9 7  3.1  73    0    0 289 -293  0
4217500 2854500  1  1 24   1.6 1007 290  4.8 8  3.0  70    0    0 293 -292  0
4217500 2854500  1  2  1   1.4 1006 290  5.6 7  3.0  71    0    0 290 -291  0
4217500 2854500  1  2  2   1.2 1006 300  4.5 8  3.0  72    0    0 287 -290  0
4217500 2854500  1  2  3   1.1 1007 300  4.5 7  3.1  74    0    0 285 -289  0
4217500 2854500  1  2  4   0.9 1007 290  4.6 7  3.1  75    0    0 279 -288  0
4217500 2854500  1  2  5   0.8 1007 290  4.2 7  3.1  76    0    0 277 -286  0
4217500 2854500  1  2  6   0.8 1007 300  3.4 7  3.2  79    0    0 276 -285  0
4217500 2854500  1  2  7   0.7 1007 290  3.4 7  3.2  79    0    0 274 -285  0
4217500 2854500  1  2  8   0.5 1007 290  4.7 7  3.1  78    0    0 273 -285  0
4217500 2854500  1  2  9   0.5 1008 300  4.9 7  3.1  77    0    6 271 -286  0
4217500 2854500  1  2 10   0.8 1008 300  3.7 7  3.1  77    5   34 271 -288  0
4217500 2854500  1  2 11   1.1 1009 290  4.2 7  3.1  77    0   44 271 -292  0
4217500 2854500  1  2 12   1.0 1009 290  5.7 8  3.1  75    0   41 275 -296  0
4217500 2854500  1  2 13   1.2 1009 300  4.4 7  3.1  75    0   68 276 -299  0
4217500 2854500  1  2 14   1.3 1009 290  5.5 5  3.0  71   45   80 263 -301  0
4217500 2854500  1  2 15   0.6 1009 290  6.3 3  2.9  70   42   54 244 -300  0
4217500 2854500  1  2 16  -0.2 1010 290  3.9 1  2.9  74    0   17 223 -298  0
4217500 2854500  1  2 17  -1.2 1010 270  2.9 1  2.9  80    0    0 213 -296  0
4217500 2854500  1  2 18  -1.6 1010 260  2.3 2  2.9  85    0    0 217 -294  0
4217500 2854500  1  2 19  -1.8 1010 270  2.4 3  3.0  88    0    0 227 -293  0
4217500 2854500  1  2 20  -1.8 1011 270  2.8 3  3.0  91    0    0 231 -293  0
4217500 2854500  1  2 21  -1.8 1011 270  3.1 2  3.0  91    0    0 227 -296  0
4217500 2854500  1  2 22  -1.7 1011 280  3.0 4  3.0  90    0    0 231 -297  0
4217500 2854500  1  2 23  -1.5 1011 290  3.1 6  3.1  90    0    0 248 -297  0
4217500 2854500  1  2 24  -2.0 1012 280  2.4 6  3.1  92    0    0 257 -295  0
4217500 2854500  1  3  1  -1.4 1012 300  2.8 7  3.1  92    0    0 261 -292  0
4217500 2854500  1  3  2  -2.2 1012 290  2.2 5  3.1  92    0    0 256 -289  0
4217500 2854500  1  3  3  -2.1 1012 290  2.2 5  3.0  94    0    0 246 -286  0
4217500 2854500  1  3  4  -1.3 1012 300  3.4 7  3.1  94    0    0 255 -283  0
4217500 2854500  1  3  5  -1.4 1012 310  3.6 7  3.2  92    0    0 264 -280  0
4217500 2854500  1  3  6  -1.2 1012 310  3.9 8  3.2  92    0    0 268 -278  0
4217500 2854500  1  3  7  -1.6 1012 270  2.1 6  3.2  92    0    0 262 -276  0
4217500 2854500  1  3  8  -1.3 1012 300  3.1 7  3.1  92    0    0 258 -274  0
4217500 2854500  1  3  9  -1.3 1012 300  2.6 7  3.2  92    0    8 263 -272  0
4217500 2854500  1  3 10  -1.5 1013 280  3.5 8  3.1  92    3   42 265 -272  0
4217500 2854500  1  3 11  -2.1 1013 290  4.3 7  3.0  91    0   54 263 -273  0
4217500 2854500  1  3 12  -1.8 1014 310  3.7 8  3.0  91    0   51 261 -275  0
4217500 2854500  1  3 13  -1.6 1014 280  4.4 7  3.0  88    0   53 262 -278  0
4217500 2854500  1  3 14  -1.1 1014 290  3.7 7  2.9  85    0   56 256 -279  0
4217500 2854500  1  3 15  -1.3 1014 280  4.0 7  2.8  82    0   46 257 -280  0
4217500 2854500  1  3 16  -1.2 1014 280  2.1 6  2.8  81    0    5 252 -282  0
4217500 2854500  1  3 17  -1.8 1014 290  2.4 5  2.8  82    0    0 244 -285  0
4217500 2854500  1  3 18  -3.1 1014 280  1.6 4  2.7  86    0    0 235 -290  0
4217500 2854500  1  3 19  -4.0 1014 240  1.5 5  2.6  89    0    0 236 -295  0
4217500 2854500  1  3 20  -4.4 1014 210  1.8 6  2.5  91    0    0 246 -298  0
4217500 2854500  1  3 21  -4.1 1014 220  2.1 6  2.6  93    0    0 253 -298  0
4217500 2854500  1  3 22  -3.5 1014 240  2.1 6  2.7  94    0    0 258 -299  0
4217500 2854500  1  3 23  -3.2 1014 270  2.3 6  2.8  94    0    0 262 -299  0
4217500 2854500  1  3 24  -2.5 1014 290  2.5 7  2.9  94    0    0 268 -299  0
4217500 2854500  1  4  1  -2.1 1014 290  2.2 8  3.0  93    0    0 275 -299  0
4217500 2854500  1  4  2  -2.1 1013 240  1.3 8  3.0  93    0    0 280 -301  0
4217500 2854500  1  4  3  -2.5 1013 200  1.7 8  3.0  93    0    0 280 -302  0
4217500 2854500  1  4  4  -2.3 1013 190  1.5 8  2.9  93    0    0 281 -303  0
4217500 2854500  1  4  5  -2.1 1012 200  1.4 8  3.0  93    0    0 282 -303  0
4217500 2854500  1  4  6  -1.9 1012 210  2.0 8  3.1  94    0    0 282 -303  0
4217500 2854500  1  4  7  -1.6 1012 210  2.0 8  3.1  94    0    0 282 -303  0
4217500 2854500  1  4  8  -1.6 1011 210  1.8 8  3.2  95    0    0 283 -303  0
4217500 2854500  1  4  9  -1.4 1012 200  1.9 8  3.3  96    4   11 282 -303  0
4217500 2854500  1  4 10  -1.1 1012 190  1.9 8  3.3  94   44   57 281 -303  0
4217500 2854500  1  4 11  -0.9 1012 200  2.2 7  3.3  92    5   72 279 -304  0
4217500 2854500  1  4 12  -0.8 1012 200  2.5 8  3.2  90    0   63 278 -305  0
4217500 2854500  1  4 13  -0.5 1012 210  2.6 7  3.2  89    0   65 277 -306  0
4217500 2854500  1  4 14  -0.7 1011 200  3.1 7  3.2  87    0   61 275 -306  0
4217500 2854500  1  4 15  -0.7 1011 190  2.8 7  3.1  87    0   35 275 -306  0
4217500 2854500  1  4 16  -1.2 1011 190  2.7 6  3.1  88    0    5 272 -305  0
4217500 2854500  1  4 17  -1.7 1011 190  2.7 6  3.0  87    0    0 267 -302  0
4217500 2854500  1  4 18  -2.1 1011 190  2.6 7  2.8  86    0    0 266 -298  0
