Koordinatensystem : Lambert konform konisch
Rechtswert        : 3884500 Meter
Hochwert          : 2925500 Meter
Hoehenlage        : 9 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3884500 2925500  1  1  1   0.3 1025 196  1.9 8  3.7  94    0    0 295 -315  0
3884500 2925500  1  1  2  -1.1 1025 220  1.6 8  3.4  96    0    0 302 -315  0
3884500 2925500  1  1  3  -2.0 1026 236  1.5 8  3.1  98    0    0 308 -315  0
3884500 2925500  1  1  4  -1.9 1026 264  1.5 8  3.1  97    0    0 310 -316  0
3884500 2925500  1  1  5  -1.7 1026 247  1.6 8  3.2  97    0    0 304 -316  0
3884500 2925500  1  1  6  -1.5 1026 237  1.6 8  3.2  95    0    0 304 -316  0
3884500 2925500  1  1  7  -1.3 1026 237  1.8 8  3.2  95    0    0 310 -317  0
3884500 2925500  1  1  8  -1.1 1026 247  1.8 8  3.3  95    0    0 308 -317  0
3884500 2925500  1  1  9  -0.8 1026 247  1.9 8  3.4  97    0    1 308 -318  0
3884500 2925500  1  1 10  -0.4 1027 256  2.0 8  3.5  99    0   18 308 -318  0
3884500 2925500  1  1 11   0.1 1027 245  2.0 7  3.7  99    0   44 301 -318  0
3884500 2925500  1  1 12   0.6 1027 258  2.4 7  3.7  97   10   79 295 -319  0
3884500 2925500  1  1 13   0.8 1027 250  2.3 7  3.7  95    0   64 295 -320  0
3884500 2925500  1  1 14   1.1 1027 259  2.5 7  3.8  95    0   56 294 -321  0
3884500 2925500  1  1 15   1.3 1027 256  2.0 7  3.9  95    0   45 294 -321  0
3884500 2925500  1  1 16   1.2 1026 254  2.2 6  3.9  95    0   20 288 -320  0
3884500 2925500  1  1 17   1.1 1027 257  1.8 6  3.9  95    0    0 281 -318  0
3884500 2925500  1  1 18   1.0 1027 248  1.7 7  3.8  95    0    0 285 -316  0
3884500 2925500  1  1 19   0.5 1027 250  2.0 7  3.8  97    0    0 288 -316  0
3884500 2925500  1  1 20   0.4 1026 182  1.1 7  3.8  99    0    0 285 -316  0
3884500 2925500  1  1 21  -0.1 1026 216  1.6 8  3.8  99    0    0 289 -315  0
3884500 2925500  1  1 22   0.4 1026 211  1.3 8  3.8  99    0    0 294 -315  0
3884500 2925500  1  1 23   0.4 1026 207  1.1 8  3.8  99    0    0 293 -315  0
3884500 2925500  1  1 24   0.5 1026 231  1.1 7  3.8  99    0    0 284 -315  0
3884500 2925500  1  2  1   0.4 1026 262  1.2 6  3.8  99    0    0 268 -315  0
3884500 2925500  1  2  2   0.4 1026 265  1.3 8  3.8  99    0    0 272 -315  0
3884500 2925500  1  2  3   0.5 1025 339  1.3 5  3.8  99    0    0 265 -315  0
3884500 2925500  1  2  4   0.2 1025 358  1.6 8  3.8  99    0    0 265 -315  0
3884500 2925500  1  2  5   0.2 1025 351  1.4 7  3.8  99    0    0 276 -314  0
3884500 2925500  1  2  6   0.2 1025  20  2.2 8  3.8  99    0    0 276 -314  0
3884500 2925500  1  2  7   0.2 1025   9  2.7 8  3.8  99    0    0 281 -313  0
3884500 2925500  1  2  8   0.0 1026  38  2.7 8  3.8 100    0    0 280 -311  0
3884500 2925500  1  2  9   0.1 1026  29  3.1 6  3.7  99    0    0 270 -308  0
3884500 2925500  1  2 10   0.1 1027  50  3.5 5  3.7  99    0   22 255 -307  0
3884500 2925500  1  2 11   0.0 1028  49  3.3 7  3.6  97    1   61 261 -305  0
3884500 2925500  1  2 12  -0.2 1028  30  2.4 6  3.5  95    4   90 266 -305  0
3884500 2925500  1  2 13   0.7 1029  39  3.1 1  3.4  90  175   38 235 -306  0
3884500 2925500  1  2 14   1.2 1029  29  3.2 1  3.3  82  154   37 212 -306  0
3884500 2925500  1  2 15   0.9 1029  29  2.5 0  3.0  75   78   44 207 -305  0
3884500 2925500  1  2 16  -0.1 1029  38  1.6 0  2.8  72   32   30 201 -303  0
3884500 2925500  1  2 17  -2.3 1030  19  1.1 1  2.7  78    0    0 202 -300  0
3884500 2925500  1  2 18  -3.6 1030  28  0.8 0  2.6  87    0    0 197 -296  0
3884500 2925500  1  2 19  -4.6 1030 293  0.8 1  2.5  91    0    0 193 -294  0
3884500 2925500  1  2 20  -5.0 1031 304  0.9 1  2.5  96    0    0 195 -292  0
3884500 2925500  1  2 21  -6.1 1031 221  0.5 0  2.4  98    0    0 189 -290  0
3884500 2925500  1  2 22  -6.9 1031  11  0.7 0  2.2  98    0    0 181 -288  0
3884500 2925500  1  2 23  -7.0 1031 209  0.5 0  2.2  97    0    0 178 -286  0
3884500 2925500  1  2 24  -7.4 1031 219  1.0 1  2.1  95    0    0 180 -285  0
3884500 2925500  1  3  1  -7.4 1030 229  1.2 1  2.0  96    0    0 182 -284  0
3884500 2925500  1  3  2  -4.7 1030 229  1.1 4  2.3  98    0    0 194 -283  0
3884500 2925500  1  3  3  -3.5 1030 238  1.8 6  2.6  96    0    0 214 -281  0
3884500 2925500  1  3  4  -2.9 1029 237  1.9 7  2.8  94    0    0 226 -280  0
3884500 2925500  1  3  5  -2.4 1029 239  2.4 8  2.8  92    0    0 233 -280  0
3884500 2925500  1  3  6  -2.2 1028 242  2.6 8  2.9  92    0    0 238 -279  0
3884500 2925500  1  3  7  -2.2 1027 247  2.5 7  2.9  91    0    0 234 -279  0
3884500 2925500  1  3  8  -2.1 1027 228  2.1 7  2.9  91    0    0 232 -279  0
3884500 2925500  1  3  9  -1.7 1027 247  2.7 8  2.9  90    0    1 236 -279  0
3884500 2925500  1  3 10  -1.5 1026 247  2.9 8  3.0  89    0    2 241 -280  0
3884500 2925500  1  3 11  -0.8 1026 256  3.3 6  3.0  88    0   52 237 -282  0
3884500 2925500  1  3 12  -0.1 1025 244  3.5 6  3.1  86    0   61 234 -286  0
3884500 2925500  1  3 13   0.4 1024 263  4.2 7  3.2  84    2  100 240 -291  0
3884500 2925500  1  3 14   0.8 1024 259  4.0 7  3.3  85    3  102 247 -295  0
3884500 2925500  1  3 15   0.3 1023 250  4.0 5  3.5  91    1   58 244 -297  0
3884500 2925500  1  3 16   0.6 1022 253  4.0 6  3.7  94    0   27 244 -296  0
3884500 2925500  1  3 17   0.9 1021 255  3.4 7  3.7  94    0    0 253 -295  0
3884500 2925500  1  3 18   1.3 1021 252  3.5 7  3.8  93    0    0 260 -294  0
3884500 2925500  1  3 19   1.5 1020 255  4.3 8  3.9  93    0    0 266 -294  0
3884500 2925500  1  3 20   1.7 1019 263  4.5 8  4.1  96    0    0 273 -293  0
3884500 2925500  1  3 21   1.8 1019 254  4.0 8  4.2  98    0    0 277 -293  0
3884500 2925500  1  3 22   2.8 1019 273  5.0 8  4.4  98    0    0 282 -294  0
3884500 2925500  1  3 23   3.2 1018 274  5.5 8  4.6  98    0    0 288 -295  0
3884500 2925500  1  3 24   3.2 1018 274  5.5 8  4.7  98    0    0 293 -296  0
3884500 2925500  1  4  1   3.4 1018 275  5.5 8  4.7  99    0    0 296 -297  0
3884500 2925500  1  4  2   3.4 1017 273  6.1 8  4.8  99    0    0 299 -299  0
3884500 2925500  1  4  3   3.3 1017 273  6.0 8  4.8  99    0    0 300 -300  0
3884500 2925500  1  4  4   3.1 1016 273  6.3 8  4.6  97    0    0 301 -301  0
3884500 2925500  1  4  5   2.9 1016 263  5.6 8  4.6  98    0    0 301 -302  0
3884500 2925500  1  4  6   2.9 1016 263  5.3 8  4.6  99    0    0 300 -303  0
3884500 2925500  1  4  7   2.8 1015 272  5.7 8  4.6  99    0    0 300 -303  0
3884500 2925500  1  4  8   2.8 1014 263  4.8 8  4.6  99    0    0 299 -304  0
3884500 2925500  1  4  9   2.8 1014 263  3.8 8  4.6  99    0    0 299 -304  0
3884500 2925500  1  4 10   2.9 1014 253  3.1 8  4.6  99    0    1 300 -305  0
3884500 2925500  1  4 11   2.9 1014 264  3.9 8  4.6  99    0   41 300 -306  0
