Koordinatensystem : Lambert konform konisch
Rechtswert        : 3884500 Meter
Hochwert          : 2925500 Meter
Hoehenlage        : 9 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3884500 2925500  1  1  1  -4.5 1024  90  3.6 3  2.5  90    0    0 201 -295  2
3884500 2925500  1  1  2  -3.4 1024  98  2.7 2  2.7  92    0    0 194 -295  2
3884500 2925500  1  1  3  -2.6 1024 104  2.0 1  2.9  93    0    0 184 -294  2
3884500 2925500  1  1  4  -2.6 1024 114  2.2 1  2.9  93    0    0 181 -293  2
3884500 2925500  1  1  5  -2.6 1023 116  2.4 2  2.9  93    0    0 190 -292  2
3884500 2925500  1  1  6  -2.6 1021 128  2.6 4  2.9  92    0    0 210 -293  2
3884500 2925500  1  1  7  -2.7 1020 111  2.5 3  2.8  91    0    0 216 -293  2
3884500 2925500  1  1  8  -2.3 1020 129  3.7 5  2.8  89    0    0 221 -293  2
3884500 2925500  1  1  9  -2.0 1019 117  3.7 6  2.8  86    0    0 236 -293  2
3884500 2925500  1  1 10  -1.9 1018 120  3.4 7  2.7  84    0   14 246 -294  2
3884500 2925500  1  1 11  -1.8 1018 119  3.6 8  2.8  84    0   44 256 -296  2
3884500 2925500  1  1 12  -1.4 1017 117  3.7 7  2.8  85    2   87 256 -298  2
3884500 2925500  1  1 13  -1.3 1016 107  3.8 7  2.9  84    2   94 252 -301  2
3884500 2925500  1  1 14  -1.5 1015  98  4.4 7  2.8  83    3   88 254 -303  2
3884500 2925500  1  1 15  -1.6 1014  98  5.1 7  2.8  84    0   48 255 -304  2
3884500 2925500  1  1 16  -1.7 1014 100  4.1 7  2.8  84    0   12 255 -304  2
3884500 2925500  1  1 17  -1.8 1014 110  4.4 7  2.8  84    0    0 256 -303  2
3884500 2925500  1  1 18  -2.1 1014 109  3.7 7  2.8  84    0    0 256 -302  2
3884500 2925500  1  1 19  -1.9 1014 109  5.0 7  2.8  84    0    0 258 -302  2
3884500 2925500  1  1 20  -2.1 1014 109  4.3 7  2.7  84    0    0 259 -303  2
3884500 2925500  1  1 21  -2.3 1014 109  4.9 7  2.7  82    0    0 259 -303  2
3884500 2925500  1  1 22  -2.5 1014 100  5.2 7  2.6  82    0    0 260 -304  2
3884500 2925500  1  1 23  -2.4 1014 101  4.2 7  2.6  83    0    0 262 -305  2
3884500 2925500  1  1 24  -2.5 1015  99  5.2 7  2.6  83    0    0 263 -304  2
3884500 2925500  1  2  1  -2.5 1015  99  5.0 7  2.6  84    0    0 265 -303  2
3884500 2925500  1  2  2  -2.5 1015  91  4.3 7  2.7  85    0    0 266 -302  2
3884500 2925500  1  2  3  -2.3 1016  99  5.4 6  2.7  85    0    0 260 -303  2
3884500 2925500  1  2  4  -1.8 1016 100  5.4 6  2.7  82    0    0 254 -304  2
3884500 2925500  1  2  5  -1.6 1017  89  4.5 5  2.7  82    0    0 247 -304  2
3884500 2925500  1  2  6  -1.9 1017  82  4.1 6  2.8  83    0    0 248 -304  2
3884500 2925500  1  2  7  -2.3 1018  81  3.2 6  2.7  84    0    0 254 -305  2
3884500 2925500  1  2  8  -2.8 1018  70  3.0 6  2.7  87    0    0 248 -306  2
3884500 2925500  1  2  9  -3.1 1019  59  2.2 6  2.7  90    0    0 244 -306  2
3884500 2925500  1  2 10  -2.7 1020  30  2.2 7  2.8  91    2   31 252 -307  2
3884500 2925500  1  2 11  -1.8 1021  51  2.3 7  2.9  90    4   62 264 -309  2
3884500 2925500  1  2 12  -1.0 1022  51  3.3 5  3.0  89   33  101 243 -311  2
3884500 2925500  1  2 13   0.0 1022  39  3.9 5  3.1  86   73  104 223 -313  2
3884500 2925500  1  2 14   0.9 1022  41  4.5 4  3.2  83  104   82 217 -314  2
3884500 2925500  1  2 15   0.7 1022  50  4.6 5  3.3  83   27   68 223 -315  2
3884500 2925500  1  2 16   0.3 1023  55  4.1 5  3.2  83   10   29 239 -315  2
3884500 2925500  1  2 17  -0.4 1023  52  3.7 4  3.1  83    0    0 236 -314  2
3884500 2925500  1  2 18  -0.9 1024  51  3.5 3  3.0  84    0    0 228 -314  2
3884500 2925500  1  2 19  -1.4 1024  59  2.9 3  2.9  84    0    0 225 -313  2
3884500 2925500  1  2 20  -1.1 1024  53  2.7 4  2.9  86    0    0 233 -312  2
3884500 2925500  1  2 21  -1.0 1025  73  2.4 5  3.0  86    0    0 246 -311  2
3884500 2925500  1  2 22  -1.0 1025  33  1.9 6  3.0  85    0    0 257 -309  2
3884500 2925500  1  2 23  -1.0 1026  40  1.8 6  3.0  86    0    0 262 -308  2
3884500 2925500  1  2 24  -1.0 1026  53  2.1 6  2.9  85    0    0 261 -306  2
3884500 2925500  1  3  1  -1.0 1026  80  2.9 4  2.8  80    0    0 249 -304  2
3884500 2925500  1  3  2  -1.3 1026  41  1.9 6  2.8  81    0    0 249 -301  2
3884500 2925500  1  3  3  -1.2 1026  48  1.7 7  2.9  85    0    0 265 -300  2
3884500 2925500  1  3  4  -1.4 1026  48  1.8 7  2.8  84    0    0 269 -298  2
3884500 2925500  1  3  5  -1.4 1026  89  1.5 5  2.7  80    0    0 257 -294  2
3884500 2925500  1  3  6  -1.4 1026  68  1.5 5  2.7  80    0    0 244 -292  2
3884500 2925500  1  3  7  -1.6 1026  79  1.5 6  2.7  81    0    0 248 -289  2
3884500 2925500  1  3  8  -1.6 1026  77  1.5 7  2.7  81    0    0 257 -287  2
3884500 2925500  1  3  9  -1.5 1026 108  1.3 8  2.6  78    0    0 264 -285  2
3884500 2925500  1  3 10  -1.1 1026 107  1.6 6  2.4  70    0   17 254 -284  2
3884500 2925500  1  3 11  -0.4 1026 150  2.9 8  2.2  61    0   39 253 -286  2
3884500 2925500  1  3 12  -0.2 1026 170  2.3 6  2.0  56    4   84 253 -290  2
3884500 2925500  1  3 13  -0.3 1025 157  2.5 6  2.1  56   20  101 243 -294  2
3884500 2925500  1  3 14  -0.8 1025 186  2.1 7  2.3  63   14   89 250 -297  2
3884500 2925500  1  3 15  -0.9 1024 191  1.7 7  2.4  68   12   61 253 -298  2
3884500 2925500  1  3 16  -1.2 1024 160  1.7 7  2.3  65    7   27 251 -297  2
3884500 2925500  1  3 17  -1.6 1023 154  2.0 7  2.2  65    0    0 249 -294  2
3884500 2925500  1  3 18  -1.5 1022 165  2.4 7  2.2  66    0    0 249 -292  2
3884500 2925500  1  3 19  -1.9 1022 167  2.8 7  2.1  64    0    0 249 -292  2
3884500 2925500  1  3 20  -2.1 1021 178  2.2 8  2.1  64    0    0 253 -292  2
3884500 2925500  1  3 21  -2.3 1021 168  2.1 8  2.1  64    0    0 260 -293  2
3884500 2925500  1  3 22  -2.4 1021 168  2.9 8  2.0  65    0    0 261 -294  2
3884500 2925500  1  3 23  -2.4 1020 179  2.9 8  2.0  65    0    0 264 -294  2
3884500 2925500  1  3 24  -2.4 1020 179  2.5 7  2.0  65    0    0 263 -295  2
3884500 2925500  1  4  1  -2.5 1019 179  2.3 8  2.1  66    0    0 266 -296  2
3884500 2925500  1  4  2  -2.8 1018 199  2.5 8  2.2  71    0    0 273 -296  2
3884500 2925500  1  4  3  -3.4 1017 160  3.3 8  2.4  81    0    0 275 -297  2
3884500 2925500  1  4  4  -3.2 1016 167  3.4 8  2.6  87    0    0 277 -297  2
3884500 2925500  1  4  5  -3.1 1015 167  3.2 8  2.6  86    0    0 279 -298  2
3884500 2925500  1  4  6  -2.8 1014 178  3.5 8  2.6  85    0    0 281 -298  2
3884500 2925500  1  4  7  -2.6 1013 168  3.3 8  2.6  84    0    0 283 -299  2
3884500 2925500  1  4  8  -2.5 1013 178  3.8 8  2.7  86    0    0 286 -299  2
3884500 2925500  1  4  9  -2.5 1012 179  3.9 8  2.8  87    0    0 286 -299  2
3884500 2925500  1  4 10  -2.5 1012 170  4.1 8  2.8  89    0   17 286 -300  2
3884500 2925500  1  4 11  -2.3 1012 167  3.7 8  2.9  91    0   40 286 -301  2
3884500 2925500  1  4 12  -1.9 1012 189  3.1 8  3.0  92    0   48 286 -302  2
3884500 2925500  1  4 13  -1.8 1011 178  3.1 8  3.1  92    0   24 288 -304  2
3884500 2925500  1  4 14  -1.3 1011 200  2.4 8  3.2  93    0   31 290 -305  2
3884500 2925500  1  4 15  -0.4 1010 200  1.9 8  3.4  94    0   27 292 -306  2
3884500 2925500  1  4 16   0.3 1010 200  1.9 8  3.6  95    0    8 295 -305  2
3884500 2925500  1  4 17   2.6 1010 271  4.7 7  4.0  94    0    0 296 -303  2
3884500 2925500  1  4 18   3.3 1010 292  5.8 8  4.3  92    0    0 301 -301  2
3884500 2925500  1  4 19   3.7 1010 292  5.6 7  4.2  86    0    0 301 -299  2
3884500 2925500  1  4 20   3.3 1010 292  5.2 6  4.1  84    0    0 289 -297  2
3884500 2925500  1  4 21   3.3 1011 293  4.9 5  4.0  84    0    0 276 -295  2
3884500 2925500  1  4 22   3.8 1011 303  4.9 7  4.1  84    0    0 279 -294  2
3884500 2925500  1  4 23   2.5 1012 351  3.4 7  4.1  86    0    0 285 -293  2
3884500 2925500  1  4 24   1.1 1013 342  3.5 6  3.9  90    0    0 275 -293  2
3884500 2925500  1  5  1   0.6 1014 352  3.1 8  3.7  91    0    0 275 -292  2
3884500 2925500  1  5  2   0.5 1014 302  1.7 8  3.6  91    0    0 281 -292  2
3884500 2925500  1  5  3   1.1 1015 323  2.5 8  3.6  89    0    0 281 -292  2
3884500 2925500  1  5  4   0.4 1016  40  2.4 8  3.5  88    0    0 282 -292  2
3884500 2925500  1  5  5  -0.6 1016  59  2.3 7  3.4  91    0    0 275 -292  2
3884500 2925500  1  5  6  -1.1 1017  98  1.8 8  3.2  90    0    0 274 -293  2
3884500 2925500  1  5  7  -1.1 1017  87  1.8 8  3.1  90    0    0 277 -294  2
3884500 2925500  1  5  8  -1.3 1017  87  2.3 8  3.1  89    0    0 277 -295  2
3884500 2925500  1  5  9  -1.9 1018  89  2.5 8  3.0  88    0    0 276 -296  2
3884500 2925500  1  5 10  -1.9 1019 109  2.8 7  2.9  88    0   17 272 -298  2
3884500 2925500  1  5 11  -1.9 1019 110  3.0 7  2.9  89    0   36 270 -299  2
3884500 2925500  1  5 12  -1.6 1020 130  3.1 7  2.9  88    1   74 272 -302  2
3884500 2925500  1  5 13  -1.5 1020 139  3.1 7  3.0  88    0   64 273 -305  2
3884500 2925500  1  5 14  -1.4 1020 130  3.7 7  3.0  89    1   74 274 -307  2
3884500 2925500  1  5 15  -1.3 1020 138  3.4 7  3.0  89    1   52 275 -307  2
3884500 2925500  1  5 16  -1.0 1021 138  3.7 8  3.1  88    1   25 282 -308  2
3884500 2925500  1  5 17  -0.9 1021 128  3.9 8  3.1  88    0    1 289 -308  2
3884500 2925500  1  5 18  -0.7 1021 129  3.9 8  3.1  87    0    0 291 -308  2
3884500 2925500  1  5 19  -0.5 1021 140  4.1 8  3.1  86    0    0 292 -309  2
3884500 2925500  1  5 20  -0.4 1020 137  3.9 8  3.1  86    0    0 293 -309  2
3884500 2925500  1  5 21  -0.1 1020 138  4.1 8  3.2  86    0    0 294 -310  2
3884500 2925500  1  5 22   0.1 1020 139  4.2 8  3.2  85    0    0 296 -311  2
3884500 2925500  1  5 23   0.4 1020 131  4.2 8  3.3  86    0    0 299 -312  2
3884500 2925500  1  5 24   0.4 1019 129  4.4 7  3.4  87    0    0 298 -313  2
3884500 2925500  1  6  1   0.6 1019 129  4.6 6  3.4  87    0    0 292 -314  2
3884500 2925500  1  6  2   0.8 1019 130  4.5 7  3.4  86    0    0 295 -314  2
3884500 2925500  1  6  3   0.9 1019 139  4.3 7  3.5  87    0    0 301 -315  2
3884500 2925500  1  6  4   1.2 1018 138  4.1 7  3.6  88    0    0 302 -315  2
3884500 2925500  1  6  5   1.3 1017 149  3.9 7  3.7  90    0    0 303 -316  2
3884500 2925500  1  6  6   1.5 1017 160  4.0 8  3.9  92    0    0 310 -316  2
3884500 2925500  1  6  7   1.5 1016 152  3.7 7  3.9  94    0    0 312 -316  2
3884500 2925500  1  6  8   1.8 1016 162  4.4 8  4.0  95    0    0 313 -316  2
3884500 2925500  1  6  9   2.1 1015 161  4.2 8  4.1  95    0    0 321 -316  2
3884500 2925500  1  6 10   2.6 1015 171  4.1 8  4.3  96    0    9 323 -316  2
3884500 2925500  1  6 11   3.2 1014 172  4.2 8  4.5  96    0   17 325 -320  2
3884500 2925500  1  6 12   3.8 1014 182  3.8 8  4.7  96    0   27 327 -323  2
3884500 2925500  1  6 13   4.2 1013 181  3.7 8  4.9  96    0   24 329 -326  2
3884500 2925500  1  6 14   4.8 1012 201  4.0 8  5.0  96    0   23 331 -330  2
3884500 2925500  1  6 15   5.2 1011 201  4.1 8  5.2  95    0   21 333 -335  2
3884500 2925500  1  6 16   5.4 1011 190  4.1 8  5.3  96    0    9 335 -338  2
3884500 2925500  1  6 17   5.9 1010 210  4.1 8  5.4  96    0    0 336 -338  2
3884500 2925500  1  6 18   6.3 1010 212  4.1 8  5.6  95    0    0 339 -338  2
3884500 2925500  1  6 19   6.7 1009 243  4.1 8  5.7  94    0    0 340 -337  2
3884500 2925500  1  6 20   7.1 1010 262  4.0 8  5.8  94    0    0 341 -336  2
3884500 2925500  1  6 21   6.8 1010 242  3.1 8  5.8  94    0    0 341 -333  2
3884500 2925500  1  6 22   6.0 1010 252  3.1 7  5.7  94    0    0 331 -331  2
3884500 2925500  1  6 23   5.7 1011 262  3.4 6  5.4  93    0    0 313 -329  2
3884500 2925500  1  6 24   5.8 1011 242  2.7 6  5.2  91    0    0 303 -328  2
3884500 2925500  1  7  1   5.9 1012 251  3.3 6  5.2  90    0    0 302 -327  2
3884500 2925500  1  7  2   6.0 1012 253  3.2 6  5.2  90    0    0 300 -323  2
3884500 2925500  1  7  3   5.6 1012 253  3.1 7  5.1  89    0    0 308 -321  2
3884500 2925500  1  7  4   5.0 1013 253  2.9 6  5.0  89    0    0 308 -318  2
3884500 2925500  1  7  5   4.9 1013 253  3.1 7  4.9  90    0    0 308 -317  2
3884500 2925500  1  7  6   4.3 1014 253  3.1 5  4.8  91    0    0 301 -316  2
3884500 2925500  1  7  7   4.3 1014 253  2.4 6  4.7  92    0    0 292 -316  2
3884500 2925500  1  7  8   3.2 1014 253  2.6 6  4.6  92    0    0 295 -316  2
3884500 2925500  1  7  9   3.4 1014 243  2.6 6  4.5  94    0    0 292 -316  2
3884500 2925500  1  7 10   3.3 1015 234  2.3 7  4.5  94    2   28 300 -317  2
3884500 2925500  1  7 11   3.5 1015 233  2.5 8  4.6  94    0   47 316 -319  2
3884500 2925500  1  7 12   3.9 1016 223  1.9 8  4.7  94    2   68 325 -322  2
3884500 2925500  1  7 13   4.3 1016 242  3.2 8  4.8  94    0   47 325 -326  2
