Koordinatensystem : Lambert konform konisch
Rechtswert        : 4217500 Meter
Hochwert          : 2854500 Meter
Hoehenlage        : 53 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4217500 2854500  1  1  1   4.7  993 203  4.2 8  4.8  88    0    0 318 -313  0
4217500 2854500  1  1  2   3.5  993 199  3.7 7  4.7  93    0    0 319 -314  0
4217500 2854500  1  1  3   2.7  993 197  3.4 6  4.5  96    0    0 309 -314  0
4217500 2854500  1  1  4   2.5  994 194  3.4 6  4.5  96    0    0 284 -315  0
4217500 2854500  1  1  5   2.3  994 189  3.4 6  4.5  97    0    0 258 -314  0
4217500 2854500  1  1  6   2.3  994 190  3.9 7  4.4  97    0    0 274 -314  0
4217500 2854500  1  1  7   2.1  995 180  3.1 7  4.4  96    0    0 298 -313  0
4217500 2854500  1  1  8   2.0  995 190  3.1 7  4.4  98    0    0 297 -314  0
4217500 2854500  1  1  9   1.5  996 190  2.6 7  4.3  99    0    0 296 -313  0
4217500 2854500  1  1 10   2.5  997 180  2.7 8  4.4  98    0   29 306 -312  0
4217500 2854500  1  1 11   3.1  997 190  2.4 7  4.6  97    0   52 309 -313  0
4217500 2854500  1  1 12   3.4  998 160  2.6 7  4.6  95    0   35 300 -314  0
4217500 2854500  1  1 13   4.1  998 170  2.5 4  4.7  93   14   95 279 -314  0
4217500 2854500  1  1 14   4.0  999 160  2.6 5  4.7  92   40   92 268 -314  0
4217500 2854500  1  1 15   3.6  999 160  2.3 4  4.7  94   10   56 266 -314  0
4217500 2854500  1  1 16   3.1  999 180  2.3 4  4.7  96    0    2 258 -313  0
4217500 2854500  1  1 17   0.6 1000 180  2.1 4  4.3  97    0    0 252 -310  0
4217500 2854500  1  1 18  -0.3 1001 150  2.5 2  3.8  98    0    0 231 -307  0
4217500 2854500  1  1 19  -0.8 1002 170  2.3 2  3.6  98    0    0 213 -306  0
4217500 2854500  1  1 20  -1.6 1002 190  2.6 2  3.4  98    0    0 213 -304  0
4217500 2854500  1  1 21  -1.8 1003 180  2.4 2  3.3  98    0    0 210 -303  0
4217500 2854500  1  1 22  -2.3 1004 210  2.4 3  3.2  97    0    0 216 -301  0
4217500 2854500  1  1 23  -2.4 1004 200  1.8 2  3.1  97    0    0 215 -299  0
4217500 2854500  1  1 24  -2.4 1005 230  1.4 3  3.1  98    0    0 214 -295  0
4217500 2854500  1  2  1  -2.8 1006 260  1.2 5  3.1  98    0    0 233 -287  0
